code,name,region,province,city,platform,reachable,trasparenza_url,discovery_note
BOAA05601L,ARGENTINA MENARINI,EMILIA ROMAGNA,BOLOGNA,BUDRIO,unknown,0,,URLError [Errno -2] Name or service not known
BOAA05602N,BAGNAROLA,EMILIA ROMAGNA,BOLOGNA,BUDRIO,unknown,0,,URLError [Errno -2] Name or service not known
BOAA05603P,CENTO,EMILIA ROMAGNA,BOLOGNA,BUDRIO,unknown,0,,URLError [Errno -2] Name or service not known
BOAA07201E,A. ERCOLANI,EMILIA ROMAGNA,BOLOGNA,CASTEL SAN PIETRO TERME,unknown,0,,URLError timed out
BOAA07205P,SAN MARTINO IN PEDRIOLO,EMILIA ROMAGNA,BOLOGNA,CASALFIUMANESE,unknown,0,,URLError timed out
BOAA17201B,COMPLESSO C4,EMILIA ROMAGNA,BOLOGNA,ZOLA PREDOSA,unknown,0,,URLError timed out
BOAA17202C,VIA THEODOLI,EMILIA ROMAGNA,BOLOGNA,ZOLA PREDOSA,unknown,0,,URLError timed out
BOAA17204E,P. BERTOLINI,EMILIA ROMAGNA,BOLOGNA,ZOLA PREDOSA,unknown,0,,URLError timed out
BOAA80501P,INFANZIA SAN PIETRO IN CASALE,EMILIA ROMAGNA,BOLOGNA,SAN PIETRO IN CASALE,unknown,0,,URLError [Errno -2] Name or service not known
BOAA80502Q,INFANZIA GALLIERA,EMILIA ROMAGNA,BOLOGNA,GALLIERA,unknown,0,,URLError [Errno -2] Name or service not known
BOAA80601E,CARLO COLLODI,EMILIA ROMAGNA,BOLOGNA,PIEVE DI CENTO,unknown,0,,URLError timed out
BOAA80701A,PONTE RIVABELLA,EMILIA ROMAGNA,BOLOGNA,MONTE SAN PIETRO,unknown,0,,URLError [Errno -2] Name or service not known
BOAA80702B,MONTE SAN GIOVANNI,EMILIA ROMAGNA,BOLOGNA,MONTE SAN PIETRO,unknown,0,,URLError [Errno -2] Name or service not known
BOAA80703C,S. MARTINO IN CASOLA,EMILIA ROMAGNA,BOLOGNA,MONTE SAN PIETRO,unknown,0,,URLError [Errno -2] Name or service not known
BOAA808027,SCUOLA DELL' INFANZIA FUTURA,EMILIA ROMAGNA,BOLOGNA,BOLOGNA,unknown,0,,URLError timed out
BOAA809012,R.RAVAGLIA VICCHI-M.A RAVAGLIA,EMILIA ROMAGNA,BOLOGNA,FONTANELICE,unknown,0,,URLError timed out
BOAA809023,SCUOLA INFANZIA CASALFIUMANESE,EMILIA ROMAGNA,BOLOGNA,CASALFIUMANESE,wordpress_generic,1,https://borgotossignanoic.edu.it/amministrazione-trasparente/,ok
BOAA810027,INFANZIA CASTELLO,EMILIA ROMAGNA,BOLOGNA,VALSAMOGGIA,unknown,0,,URLError [Errno -2] Name or service not known
BOAA810038,INFANZIA CA' BORTOLANI,EMILIA ROMAGNA,BOLOGNA,VALSAMOGGIA,unknown,0,,URLError [Errno -2] Name or service not known
BOAA811012,CASTEL D'AIANO CAPOLUOGO,EMILIA ROMAGNA,BOLOGNA,CASTEL D'AIANO,unknown,0,,URLError [Errno -2] Name or service not known
BOAA811023,CARLO COLLODI,EMILIA ROMAGNA,BOLOGNA,GAGGIO MONTANO,unknown,0,,URLError [Errno -2] Name or service not known
BOAA811034,INFANZIA STATALE LIZZANO IN B.,EMILIA ROMAGNA,BOLOGNA,LIZZANO IN BELVEDERE,unknown,0,,URLError [Errno -2] Name or service not known
BOAA811045,GAGGIO MONTANO CAPOLUOGO,EMILIA ROMAGNA,BOLOGNA,GAGGIO MONTANO,unknown,0,,URLError [Errno -2] Name or service not known
BOAA81202V,ALBERTAZZI,EMILIA ROMAGNA,BOLOGNA,BOLOGNA,unknown,0,,URLError timed out
BOAA81302P,INFANZIA COOP AZZURRA,EMILIA ROMAGNA,BOLOGNA,BOLOGNA,unknown,0,,URLError timed out
BOAA81401D,LAVINO DI MEZZO,EMILIA ROMAGNA,BOLOGNA,ANZOLA DELL'EMILIA,unknown,0,,HTTPError 509
BOAA81402E,S. MARIA IN STRADA,EMILIA ROMAGNA,BOLOGNA,ANZOLA DELL'EMILIA,unknown,0,,URLError [Errno -2] Name or service not known
BOAA81403G,TILDE BOLZANI,EMILIA ROMAGNA,BOLOGNA,ANZOLA DELL'EMILIA,spaggiari,1,https://www.istitutocomprensivoanzola.edu.it/pagine/modulistica-personale-docenti,ok
BOAA81502A,GIROTONDO,EMILIA ROMAGNA,BOLOGNA,BOLOGNA,unknown,0,,URLError [Errno -2] Name or service not known
BOAA816015,"SCUOLA INFANZIA ""DAVID SASSOLI""",EMILIA ROMAGNA,BOLOGNA,BOLOGNA,agid_wordpress,1,https://www.ic5bologna.edu.it/albo-online/,ok
BOAA816026,INFANZIA LA GIOSTRA,EMILIA ROMAGNA,BOLOGNA,BOLOGNA,agid_wordpress,1,https://www.ic5bologna.edu.it/albo-online/,ok
BOAA816037,INFANZIA FEDERZONI,EMILIA ROMAGNA,BOLOGNA,BOLOGNA,agid_wordpress,1,https://www.ic5bologna.edu.it/albo-online/,ok
BOAA817011,GOZZADINI,EMILIA ROMAGNA,BOLOGNA,BOLOGNA,unknown,0,,URLError [Errno -2] Name or service not known
BOAA817022,SCUOLA MATERNA GIORDANI,EMILIA ROMAGNA,BOLOGNA,BOLOGNA,unknown,0,,HTTPError 509
BOAA81801R,INFANZIA PAOLA MARCHETTI,EMILIA ROMAGNA,BOLOGNA,BOLOGNA,unknown,0,,URLError timed out
BOAA81802T,INFANZIA SCANDELLARA,EMILIA ROMAGNA,BOLOGNA,BOLOGNA,unknown,0,,URLError timed out
BOAA81901L,BENEDETTO XIV,EMILIA ROMAGNA,BOLOGNA,SALA BOLOGNESE,unknown,0,,URLError [Errno -2] Name or service not known
BOAA81902N,OSTERIA NUOVA,EMILIA ROMAGNA,BOLOGNA,SALA BOLOGNESE,unknown,0,,URLError [Errno -2] Name or service not known
BOAA81903P,ZAMBONELLI,EMILIA ROMAGNA,BOLOGNA,SALA BOLOGNESE,unknown,0,,URLError [Errno -2] Name or service not known
BOAA82001R,LONGARA,EMILIA ROMAGNA,BOLOGNA,CALDERARA DI RENO,unknown,0,,HTTPError 509
